
Processing printEntranceMomentumTest.C++...
EventNtuple v06_03_00
There are 15985 to go over. Printing momenta from trkseg and trksegmc and their differences.
Track Seg Momentum: 103.504   TrackMC Seg Momentum: 103.453  Resolution: 0.0507812
Track Seg Momentum: 104.158   TrackMC Seg Momentum: 104.032  Resolution: 0.126099
Track Seg Momentum: 104.214   TrackMC Seg Momentum: 104.049  Resolution: 0.165672
Track Seg Momentum: 102.96   TrackMC Seg Momentum: 103.615  Resolution: -0.655045
Track Seg Momentum: 103.029   TrackMC Seg Momentum: 102.86  Resolution: 0.169556
Track Seg Momentum: 103.215   TrackMC Seg Momentum: 102.837  Resolution: 0.378777
Track Seg Momentum: 103.904   TrackMC Seg Momentum: 103.991  Resolution: -0.0873337
Track Seg Momentum: 104.51   TrackMC Seg Momentum: 104.609  Resolution: -0.098732
Track Seg Momentum: 100.762   TrackMC Seg Momentum: 103.625  Resolution: -2.86333
Track Seg Momentum: 103.352   TrackMC Seg Momentum: 103.54  Resolution: -0.188377
Track Seg Momentum: 103.837   TrackMC Seg Momentum: 104.069  Resolution: -0.23217
Track Seg Momentum: 104.606   TrackMC Seg Momentum: 104.448  Resolution: 0.158226
Track Seg Momentum: 104.518   TrackMC Seg Momentum: 104.54  Resolution: -0.0212173
Track Seg Momentum: 104.658   TrackMC Seg Momentum: 104.507  Resolution: 0.151688
Track Seg Momentum: 104.19   TrackMC Seg Momentum: 104.186  Resolution: 0.00442505
Track Seg Momentum: 104.001   TrackMC Seg Momentum: 103.9  Resolution: 0.100182
Track Seg Momentum: 103.986   TrackMC Seg Momentum: 104.161  Resolution: -0.17588
Track Seg Momentum: 103.806   TrackMC Seg Momentum: 103.812  Resolution: -0.00634003
Track Seg Momentum: 104.339   TrackMC Seg Momentum: 104.593  Resolution: -0.253769
Track Seg Momentum: 104.068   TrackMC Seg Momentum: 103.862  Resolution: 0.205803
Track Seg Momentum: 101.909   TrackMC Seg Momentum: 102.035  Resolution: -0.126129
Track Seg Momentum: 103.137   TrackMC Seg Momentum: 103.152  Resolution: -0.0146103
Track Seg Momentum: 104.241   TrackMC Seg Momentum: 104.146  Resolution: 0.0943298
Track Seg Momentum: 104.473   TrackMC Seg Momentum: 104.449  Resolution: 0.0244827
Track Seg Momentum: 104.415   TrackMC Seg Momentum: 104.531  Resolution: -0.116669
Track Seg Momentum: 103.666   TrackMC Seg Momentum: 104.232  Resolution: -0.56588
Track Seg Momentum: 103.812   TrackMC Seg Momentum: 103.782  Resolution: 0.0291748
Track Seg Momentum: 105.4   TrackMC Seg Momentum: 104.606  Resolution: 0.794205
Track Seg Momentum: 104.03   TrackMC Seg Momentum: 104.457  Resolution: -0.427223
Track Seg Momentum: 106.584   TrackMC Seg Momentum: 104.804  Resolution: 1.78035
Track Seg Momentum: 104.036   TrackMC Seg Momentum: 104.265  Resolution: -0.229736
Track Seg Momentum: 103.654   TrackMC Seg Momentum: 103.583  Resolution: 0.0712967
Track Seg Momentum: 100.36   TrackMC Seg Momentum: 100.477  Resolution: -0.117279
Track Seg Momentum: 104.22   TrackMC Seg Momentum: 104.232  Resolution: -0.0123215
Track Seg Momentum: 104.176   TrackMC Seg Momentum: 104.179  Resolution: -0.00314331
Track Seg Momentum: 103.881   TrackMC Seg Momentum: 103.934  Resolution: -0.0526581
Track Seg Momentum: 103.811   TrackMC Seg Momentum: 103.814  Resolution: -0.0030899
Track Seg Momentum: 104.528   TrackMC Seg Momentum: 104.682  Resolution: -0.1539
Track Seg Momentum: 104.498   TrackMC Seg Momentum: 104.574  Resolution: -0.0760651
Track Seg Momentum: 104.716   TrackMC Seg Momentum: 104.696  Resolution: 0.0200806
Track Seg Momentum: 104.191   TrackMC Seg Momentum: 104.186  Resolution: 0.00514984
Track Seg Momentum: 104.774   TrackMC Seg Momentum: 104.839  Resolution: -0.0650711
Track Seg Momentum: 98.7592   TrackMC Seg Momentum: 98.8883  Resolution: -0.129089
Track Seg Momentum: 102.871   TrackMC Seg Momentum: 102.884  Resolution: -0.013031
Track Seg Momentum: 104.717   TrackMC Seg Momentum: 104.646  Resolution: 0.0710373
Track Seg Momentum: 106.189   TrackMC Seg Momentum: 104.401  Resolution: 1.78788
Track Seg Momentum: 104.592   TrackMC Seg Momentum: 104.59  Resolution: 0.00224304
Track Seg Momentum: 90.7526   TrackMC Seg Momentum: 90.3779  Resolution: 0.374664
Track Seg Momentum: 104.042   TrackMC Seg Momentum: 104.096  Resolution: -0.0544205
Track Seg Momentum: 105.303   TrackMC Seg Momentum: 104.592  Resolution: 0.710892
Track Seg Momentum: 104.631   TrackMC Seg Momentum: 104.71  Resolution: -0.0792007
Track Seg Momentum: 104.021   TrackMC Seg Momentum: 104.456  Resolution: -0.434654
Track Seg Momentum: 97.9721   TrackMC Seg Momentum: 97.7895  Resolution: 0.182564
Track Seg Momentum: 103.893   TrackMC Seg Momentum: 103.845  Resolution: 0.0480652
